title,short_desc,category,prize,tags,kernels_comp,submission_details,teams_entered,deadline
Predict Future Sales,"Final project for ""How to win a data science competition"" Coursera course",Playground,Kudos,NA,NA,NA,3281,2020-01-02
iMaterialist (Fashion) 2019 at FGVC6,Fine-grained segmentation task for fashion and apparel,Research,Kudos,NA,NA,NA,203,2019-06-10
iNaturalist 2019 at FGVC6,Fine-grained classification spanning a thousand species,Research,Kudos,NA,NA,NA,209,2019-06-10
Google Landmark Recognition 2019,Label famous (and not-so-famous) landmarks in images,Research,"$25,000",NA,NA,NA,281,2019-06-03
Google Landmark Retrieval 2019,"Given an image, can you find all of the same landmarks in a dataset?",Research,"$25,000",NA,NA,NA,144,2019-06-03
Microsoft Malware Prediction,Can you predict if a machine will soon be hit with malware?,Research,"$25,000",NA,NA,NA,2426,2019-03-04
Reducing Commercial Aviation Fatalities,Can you tell when a pilot is heading for trouble?,Playground,Swag,NA,NA,NA,180,2019-02-02
Google AI Open Images - Object Detection Track,Detect objects in varied and complex images.,Featured,"$30,000",NA,NA,NA,454,2018-09-03
Google AI Open Images - Visual Relationship Track,Detect pairs of objects in particular relationships.,Featured,"$20,000",NA,NA,NA,232,2018-09-03
CVPR 2018 WAD Video Segmentation Challenge,Can you segment each objects within image frames captured by vehicles?,Research,"$2,500",NA,NA,NA,141,2018-06-04
iNaturalist Challenge at FGVC5,"Long tailed classification challenge spanning 8,000 species.",Research,Kudos,NA,NA,NA,59,2018-06-04
iMaterialist Challenge (Fashion) at FGVC5,Image classification of fashion products.,Research,"$2,500",NA,NA,NA,212,2018-06-04
iMaterialist Challenge (Furniture) at FGVC5,Image Classification of Furniture & Home Goods.,Research,"$2,500",NA,NA,NA,428,2018-06-04
TalkingData AdTracking Fraud Detection Challenge,Can you detect fraudulent click traffic for mobile app ads?,Featured,"$25,000",NA,NA,NA,3951,2018-06-04
Google Cloud & NCAA® ML Competition 2018-Women's,Apply machine learning to NCAA® March Madness®,Featured,"$50,000",NA,NA,NA,505,2018-06-04
Recruit Restaurant Visitor Forecasting,Predict how many future visitors a restaurant will receive,Featured,"$25,000",NA,NA,NA,2158,2018-06-04
TensorFlow Speech Recognition Challenge,Can you build an algorithm that understands simple speech commands?,Featured,"$25,000",NA,NA,NA,1315,2018-06-04
WSDM - KKBox's Music Recommendation Challenge,Can you build the best music recommendation system?,Research,"$5,000",NA,NA,NA,1081,2018-06-04
Cervical Cancer Screening,Help prevent cervical cancer by identifying at-risk populations,Featured,"$100,000",NA,NA,NA,40,2016-06-04
Western Australia Rental Prices,Predict rental prices for properties across Western Australia,Featured,"$100,000",NA,NA,NA,59,2015-06-05
Introducing Kaggle Scripts,Your code deserves better,Playground,Swag,NA,NA,NA,NA,2015-06-05
BCI Challenge @ NER 2015,A spell on you if you cannot detect errors!,Research,"$1,000",NA,NA,NA,260,2015-06-05
Click-Through Rate Prediction,Predict whether a mobile ad will be clicked,Featured,"$15,000",NA,NA,NA,1604,2015-06-05
Helping Santa's Helpers,"Jingle bells, Santa tells ...",Featured,"$20,000",NA,NA,NA,439,2015-06-05
Data Science London + Scikit-learn,Scikit-learn is an open-source machine learning library for Python. Give it a try here!,Getting Started,Knowledge,NA,NA,NA,191,2015-06-05
American Epilepsy Society Seizure Prediction Challenge,Predict seizures in intracranial EEG recordings,Research,"$25,000",NA,NA,NA,504,2014-06-05
Tradeshift Text Classification,Classify text blocks in documents,Featured,"$5,000",NA,NA,NA,375,2014-06-05
Learning Social Circles in Networks,Model friend memberships to multiple circles,Playground,Knowledge,NA,NA,NA,203,2014-06-05
Africa Soil Property Prediction Challenge,Predict physical and chemical properties of soil using spectral measurements,Research,"$8,000",NA,NA,NA,1233,2014-06-05
CIFAR-10 - Object Recognition in Images,"Identify the subject of 60,000 labeled images",Playground,Knowledge,NA,NA,NA,231,2014-06-05
Display Advertising Challenge,Predict click-through rates on display ads,Research,"$16,000",NA,NA,NA,718,2014-06-05
Higgs Boson Machine Learning Challenge,Use the ATLAS experiment to identify the Higgs boson,Featured,"$13,000",NA,NA,NA,1785,2014-06-05
